Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_g8FRco.so
[0 - 7f84910fd780] {4}{threads}: reservation ('CPU proc 1d00000000000003') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 32, 32, 32
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.196350, 0.196350, 0.196350
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 4096, 24576
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
   104 |  3.0859e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -1.1945e-02 |  1.0000e+00 |  1.0100e+00
   105 |  3.1156e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -3.5495e-03 |  1.0000e+00 |  1.0102e+00
   106 |  3.1453e-01 |  2.9671e-03 |  4.0317e-04 | -7.1482e-03 |  3.8220e-02 |  1.0000e+00 |  1.0104e+00
   107 |  3.1750e-01 |  2.9671e-03 |  3.8832e-02 |  4.0933e-03 |  3.3886e-03 |  1.0000e+00 |  1.0106e+00
   108 |  3.2046e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  2.4960e-01 |  1.0000e+00 |  1.0108e+00
   109 |  3.2343e-01 |  2.9671e-03 |  3.8881e-02 |  4.1547e-03 | -1.7781e+00 |  1.0000e+00 |  1.0110e+00
   110 |  3.2640e-01 |  2.9671e-03 |  4.0620e-04 |  1.3305e-02 |  1.4765e-01 |  1.0000e+00 |  1.0112e+00
   111 |  3.2936e-01 |  2.9671e-03 | 2.1220e-313 | 6.5782e-313 | 2.2069e-312 |  1.0000e+00 |  1.0114e+00
   112 |  3.3233e-01 |  2.9671e-03 |  3.8958e-02 |  4.2518e-03 |  2.1965e-02 |  1.0000e+00 |  1.0116e+00
   113 |  3.3530e-01 |  2.9671e-03 |  4.0857e-04 |  1.3425e-02 |  1.6560e-01 |  1.0000e+00 |  1.0118e+00
   114 |  3.3827e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -9.7266e-06 |  1.0000e+00 |  1.0120e+00
   115 |  3.4123e-01 |  2.9671e-03 |  4.1019e-04 |  1.3505e-02 | -1.1623e-02 |  1.0000e+00 |  1.0123e+00
   116 |  3.4420e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  1.4662e-01 |  1.0000e+00 |  1.0125e+00
   117 |  3.4717e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  2.2284e-02 |  1.0000e+00 |  1.0127e+00
   118 |  3.5013e-01 |  2.9671e-03 |  3.7872e-04 | -1.2454e-02 | -1.1532e-02 |  1.0000e+00 |  1.0129e+00
   119 |  3.5310e-01 |  2.9671e-03 |  3.5689e-06 | -9.9339e-02 |  1.5219e-01 |  1.0000e+00 |  1.0131e+00
   120 |  3.5607e-01 |  2.9671e-03 |  4.1440e-04 |  1.3704e-02 | -1.7950e+00 |  1.0000e+00 |  1.0134e+00
   121 |  3.5904e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -1.1444e-02 |  1.0000e+00 |  1.0136e+00
   122 |  3.6200e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -1.5513e-01 |  1.0000e+00 |  1.0138e+00
   123 |  3.6497e-01 |  2.9671e-03 |  3.6004e-06 |  9.2397e-02 |  8.2702e-04 |  1.0000e+00 |  1.0140e+00
   124 |  3.6794e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -5.8153e-03 |  1.0000e+00 |  1.0143e+00
   125 |  3.7090e-01 |  2.9671e-03 |  4.1884e-04 | -6.8108e-03 |  2.1613e-02 |  1.0000e+00 |  1.0145e+00
   126 |  3.7387e-01 |  2.9671e-03 |  0.0000e+00 |  3.3333e-01 |  8.7027e-03 |  1.0000e+00 |  1.0147e+00
   127 |  3.7684e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 |  1.2138e-03 |  1.0000e+00 |  1.0150e+00
   128 |  3.7981e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  1.5803e-03 |  1.0000e+00 |  1.0152e+00
   129 |  3.8277e-01 |  2.9671e-03 |  0.0000e+00 |  3.3333e-01 |  4.0656e-03 |  1.0000e+00 |  1.0155e+00
   130 |  3.8574e-01 |  2.9671e-03 |  3.9156e-02 |  2.8207e-03 |  6.2962e-03 |  1.0000e+00 |  1.0157e+00
   131 |  3.8871e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -1.5395e-01 |  1.0000e+00 |  1.0159e+00
   132 |  3.9167e-01 |  2.9671e-03 |  4.2546e-04 | -6.7016e-03 |  3.0512e-01 |  1.0000e+00 |  1.0162e+00
   133 |  3.9464e-01 |  2.9671e-03 |  4.2645e-04 |  1.4228e-02 | -1.5366e-01 |  1.0000e+00 |  1.0164e+00
   134 |  3.9761e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  2.3387e-02 |  1.0000e+00 |  1.0167e+00
   135 |  4.0058e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  2.0966e-03 |  1.0000e+00 |  1.0169e+00
   136 |  4.0354e-01 |  2.9671e-03 | -0.0000e+00 |  5.0930e+00 | -1.8219e+00 |  1.0000e+00 |  1.0172e+00
   137 |  4.0651e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  4.8686e-03 |  1.0000e+00 |  1.0175e+00
   138 |  4.0948e-01 |  2.9671e-03 |  3.7936e-04 |  5.4853e-03 |  6.5443e-03 |  1.0000e+00 |  1.0177e+00
   139 |  4.1244e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  7.7434e-03 |  1.0000e+00 |  1.0180e+00
   140 |  4.1541e-01 |  2.9671e-03 |  0.0000e+00 |  5.0930e+00 |  8.3571e-03 |  1.0000e+00 |  1.0182e+00
   141 |  4.1838e-01 |  2.9671e-03 |  3.6438e-06 | -9.9618e-02 |  2.3871e-02 |  1.0000e+00 |  1.0185e+00
