Taylor-Green Vortex
cc -O3 -Wall -Werror -std=c99 -I/home/akshays/Codes/SuperLU_5.2.1/include -shared -fPIC -lm -lblas -L/home/akshays/Codes/SuperLU_5.2.1/lib -lsuperlu ./superlu_util.c -o /tmp/lua_KACsOo.so
[0 - 7f953cc17780] {4}{threads}: reservation ('CPU proc 1d0000000000000b') cannot be satisfied
======================= Problem parameters ======================
           Nx, Ny, Nz           = 64, 64, 64
           Lx, Ly, Lz           = 6.283185, 6.283185, 6.283185
           dx, dy, dz           = 0.098175, 0.098175, 0.098175
           Time stepping method = CONSTANT_CFL_NUM
           CFL_num              = 0.600000
           prow, pcol           = 4, 4
           fileIO               = false
================================================================
Finished X matrices initialization
Finished Y matrices initialization
Finished Z matrices initialization
Finished LU initialization
Finished initialization
TKE, Enstrophy = 32768, 196608
  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
   137 |  2.0324e-01 |  1.4835e-03 |  2.4107e-05 | -1.9768e-03 |  1.5831e+00 |  1.0000e+00 |  1.0043e+00
   138 |  2.0472e-01 |  1.4835e-03 |  2.4122e-05 | -1.9742e-03 |  8.5063e-04 |  1.0000e+00 |  1.0044e+00
   139 |  2.0621e-01 |  1.4835e-03 |  9.6920e-03 |  6.2171e-04 | -7.9226e-04 |  1.0000e+00 |  1.0045e+00
   140 |  2.0769e-01 |  1.4835e-03 |  9.6878e-03 |  3.8456e-04 | -3.2787e-03 |  1.0000e+00 |  1.0045e+00
   141 |  2.0917e-01 |  1.4835e-03 |  2.4166e-05 |  2.9738e-03 | -4.0985e-03 |  1.0000e+00 |  1.0046e+00
   142 |  2.1066e-01 |  1.4835e-03 |  2.4181e-05 |  2.9785e-03 |  8.6976e-04 |  1.0000e+00 |  1.0046e+00
   143 |  2.1214e-01 |  1.4835e-03 |  6.0727e-08 | -4.9213e-02 |  5.0975e-04 |  1.0000e+00 |  1.0047e+00
   144 |  2.1362e-01 |  1.4835e-03 |  2.4212e-05 |  2.9877e-03 | -8.0229e-02 |  1.0000e+00 |  1.0048e+00
   145 |  2.1511e-01 |  1.4835e-03 |  2.3378e-05 |  1.8647e-03 |  4.5625e-03 |  1.0000e+00 |  1.0048e+00
   146 |  2.1659e-01 |  1.4835e-03 |  9.6972e-03 |  4.0704e-04 | -1.7565e+00 |  1.0000e+00 |  1.0049e+00
   147 |  2.1807e-01 |  1.4835e-03 |  6.0854e-08 | -4.9212e-02 | -1.1114e-03 |  1.0000e+00 |  1.0050e+00
   148 |  2.1956e-01 |  1.4835e-03 |  2.4274e-05 |  3.0063e-03 |  7.8492e-02 |  1.0000e+00 |  1.0050e+00
   149 |  2.2104e-01 |  1.4835e-03 |  2.3391e-05 |  1.8493e-03 | 2.2069e-312 |  1.0000e+00 |  1.0051e+00
   150 |  2.2252e-01 |  1.4835e-03 |  2.3452e-05 | -2.8948e-03 | -3.2358e-03 |  1.0000e+00 |  1.0052e+00

  Step |        Time |    Timestep |   Error rho |     Error u |     Error p |         TKE |   Enstrophy
-------|-------------|-------------|-------------|-------------|-------------|-------------|------------
